AtcoCode,Bearing,CommonName,CreationDateTime,GrandParentLocalityName,Indicator,Landmark,LocalityName,ModificationDateTime,NaptanCode,Notes,NptgLocalityCode,ParentLocalityName,StopType,Street
1800NCH1891,SW,Abden Street,2007-11-01T00:00:00,,Water Street,WATER STREET,Radcliffe,2007-11-01T00:00:00,,,E0029232,Bury,BCT,ABDEN STREET
1800NCH1892,NE,Abden Street,2007-11-01T00:00:00,,Water Street,WATER STREET,Radcliffe,2007-11-01T00:00:00,,,E0029232,Bury,BCT,ABDEN STREET
1800NCH2061,E,Abden Street,2007-11-01T00:00:00,,Ulundi Street,ULUNDI STREET,Radcliffe,2007-11-01T00:00:00,,,E0029232,Bury,BCT,ABDEN STREET
1800NB40731,S,Abercarn Cl,2010-04-20T00:00:00,,nr,HOUSE 330,Cheetham Hill,2010-04-20T00:00:00,MANDJTWA,INDICATOR AMENDED,E0028704,Manchester,BCT,WATERLOO RD
1800WA12921,SE,Abercorn Road,2007-11-01T00:00:00,,opp,HOUSE 99,Smithills,2007-11-01T00:00:00,MANPAGJD,,N0075151,,BCT,SMITHILLS DEAN
1800WA12931,NW,Abercorn Road,2007-11-01T00:00:00,,nr,HOUSE 107,Smithills,2007-11-01T00:00:00,MANPAGJG,,N0075151,,BCT,SMITHILLS DEAN
1800NE00501,E,Aberley Fold,2015-04-02T00:00:00,,nr,,Shore,2015-04-02T00:00:00,MANDWADT,STOP LOCATION AMENDED,E0029322,Littleborough,BCT,SHORE RD
1800WA20421,SE,Abernethy Street,2014-05-15T00:00:00,,nr,PRIMARY SCHOOL,Horwich,2014-05-15T00:00:00,MANPDWDP,indicator amended,E0052667,,BCT,CHORLEY NEW RD
1800WA20411,NW,Abernethy Street,2014-05-15T00:00:00,,opp,PRIMARY SCHOOL,Horwich,2014-05-15T00:00:00,MANPDWDM,indicator amended,E0052667,,BCT,CHORLEY NEW RD
1800WK00711,SW,Abingdon Dr,2013-05-18T00:00:00,,opp,HOUSE 174,Platt Bridge,2013-05-18T00:00:00,MANPMGPG,INDICATOR AMENDED,E0029211,Wigan,BCT,LILY LN
1800WK00721,NE,Abingdon Dr,2013-05-18T00:00:00,,nr,HOUSE 162,Platt Bridge,2013-05-18T00:00:00,MANPMGPJ,INDICATOR AMENDED,E0029211,Wigan,BCT,LILY LN
1800SJ47601,W,Abington Road,2015-01-30T00:00:00,,opp,BAPTIST CHAPEL,Brooklands,2015-01-30T00:00:00,MANJTMTW,INDICATOR AMENDED,E0028623,Sale,BCT,MARSLAND ROAD
1800ZZMAABM1,,Abraham Moss (Manchester Metrolink),2011-03-04T00:00:00,,Entrance,,Cheetham Hill,2011-03-04T00:00:00,,,E0028704,Manchester,TMU,Greenstead Avenue
1800ZZMAABM2,,Abraham Moss (Manchester Metrolink),2011-03-04T00:00:00,,Entrance,,Cheetham Hill,2011-03-04T00:00:00,,,E0028704,Manchester,TMU,Woodlands Road
1800NB40881,E,Abraham Moss Ctr,2011-01-06T00:00:00,,opp,CHURCH,Cheetham Hill,2011-01-06T00:00:00,MANDJWDG,INDICATOR AMENDED,E0028704,Manchester,BCT,CRESCENT RD
1800NB40871,W,Abraham Moss Ctr,2007-11-01T00:00:00,,o/s,RAILWAY BRIDGE,Cheetham Hill,2007-11-01T00:00:00,MANDJWDA,,E0028704,Manchester,BCT,CRESCENT RD
1800WK37781,S,Abram Council Offices,2007-11-01T00:00:00,,o/s,COUNCIL OFFICES,Abram,2007-11-01T00:00:00,MANTDJTD,,E0028244,Wigan,BCT,WARRINGTON RD
1800WK37801,N,Abram Labour Club,2014-02-18T00:00:00,,opp,HOUSE 332,Abram,2014-02-18T00:00:00,MANTDJTJ,indicator amended,E0028244,Wigan,BCT,WARRINGTON RD
1800WK37791,N,Abram PO,2007-11-01T00:00:00,,nr,HOUSE 278,Abram,2007-11-01T00:00:00,MANTDJTG,,E0028244,Wigan,BCT,WARRINGTON RD
1800NF40641,S,Abram St,2015-11-22T00:00:00,,nr,HOUSE 46,Lower Kersal,2015-11-22T00:00:00,MANGPDGD,STOP LOCATION AMENDED,E0029017,Salford,BCT,LANGLEY RD
1800NF40631,N,Abram St,2007-11-01T00:00:00,,opp,LANGLEY MILL,Lower Kersal,2007-11-01T00:00:00,MANGPDGA,,E0029017,Salford,BCT,LANGLEY RD
1800WKH0702,W,Acacia Crescent,2010-05-26T00:00:00,,Acacia Crescent,ACACIA CRESCENT,Beech Hill,2010-05-26T00:00:00,,REMOVED,E0028535,Wigan,BCT,ROSE AVENUE
1800WKH0701,E,Acacia Crescent,2010-05-26T00:00:00,,Acacia Crescent,ACACIA CRESCENT,Beech Hill,2010-05-26T00:00:00,,REMOVED,E0028535,Wigan,BCT,ROSE AVENUE
1800ED28811,N,Acacia Rd,2007-11-01T00:00:00,,nr,HOUSE 102,Limeside,2007-11-01T00:00:00,MANATMAJ,,E0028969,,BCT,ELM RD
1800ED28821,S,Acacia Rd,2016-08-25T00:00:00,,opp,HOUSE 123,Limeside,2016-08-25T00:00:00,MANATMAM,STOP LOCATION AMENDED,E0028969,,BCT,ELM RD
1800EB03871,S,Acacias Sch,2010-03-25T00:00:00,,o/s,PRIMARY SCH,Burnage,2010-03-25T00:00:00,MANADMGP,INDICATOR AMENDED,E0028653,Manchester,BCT,BURNAGE LN
1800EB03861,N,Acacias Sch,2007-11-01T00:00:00,,opp,HOUSE 42,Burnage,2007-11-01T00:00:00,MANADMGM,,E0028653,Manchester,BCT,BURNAGE LN
1800SG12351,E,Ack Ln East,2014-02-18T00:00:00,,adj,SHOPS,Bramhall,2014-02-18T00:00:00,MANJDJTJ,INDICATOR AMENDED,E0028595,,BCT,MOSS LN
1800SG05691,W,Ack Ln East,2014-02-18T00:00:00,,nr,RESTAURANT,Bramhall,2014-02-18T00:00:00,MANJAJGP,INDICATOR AMENDED,E0028595,,BCT,MOSS LN
1800SJ03571,E,Ackers Farm,2014-09-30T00:00:00,,opp,,Ashton Upon Mersey,2014-09-30T00:00:00,MANJPGMW,INDICATOR AMENDED,E0028489,Sale,BCT,CARRINGTON LANE
1800SJ03561,W,Ackers Farm,2014-09-30T00:00:00,,o/s,FARM,Ashton Upon Mersey,2014-09-30T00:00:00,MANJPGMT,INDICATOR AMENDED,E0028489,Sale,BCT,CARRINGTON LANE
1800SJ48171,NE,Ackers Lane,2015-02-13T00:00:00,,opp,LINCO IMPLEX LD,Carrington,2015-02-13T00:00:00,MANJTPWM,INDICATOR AMENDED,E0052672,,BCT,MANCHESTER ROAD
1800SJ48181,SW,Ackers Lane,2015-02-13T00:00:00,,nr,,Carrington,2015-02-13T00:00:00,MANJTPWP,INDICATOR AMENDED,E0052672,,BCT,MANCHESTER ROAD
1800WK05121,S,Ackhurst Ln,2016-10-06T00:00:00,,nr,COLLEGE,Gathurst,2016-10-06T00:00:00,MANPTJAP,STOP LOCATION AMENDED,E0028431,Wigan,BCT,GATHURST RD
1800WK05111,N,Ackhurst Ln,2014-02-14T00:00:00,,opp,,Gathurst,2014-02-14T00:00:00,MANPTJAM,indicator amended,E0028431,Wigan,BCT,GATHURST RD
1800EBH0502,S,Ackroyd Street,2007-11-01T00:00:00,Manchester,Ackroyd Street,ACKROYD STREET,Abbey Hey,2007-11-01T00:00:00,,,E0028241,Gorton,BCT,ABBEY HEY LANE
1800SB31521,W,Acomb St,2007-11-01T00:00:00,,nr,SHOPS,Moss Side,2007-11-01T00:00:00,MANGTPJW,,E0029102,Manchester,BCT,GT WESTERN ST
1800SG05661,E,Acre Ln,2014-02-18T00:00:00,,adj,HOUSE 123,Bramhall,2014-02-18T00:00:00,MANJAJGD,INDICATOR AMENDED,E0028595,,BCT,MOSS LN
1800SG05651,W,Acre Ln,2014-02-18T00:00:00,,nr,ABBEYFIELD SOC,Bramhall,2014-02-18T00:00:00,MANJAJGA,INDICATOR AMENDED,E0028595,,BCT,MOSS LN
1800EHH0072,N,Acre Street,2007-11-01T00:00:00,,Victoria Street,VICTORIA STREET,Denton,2007-11-01T00:00:00,,,N0074964,,BCT,ACRE STREET
1800EHH0071,S,Acre Street (SE Bnd),2010-10-14T00:00:00,,Victoria Street,VICTORIA STREET,Denton,2010-10-14T00:00:00,,DIRECTION AMENDED,N0074964,,BCT,ACRE STREET
1800NBH1101,N,Acre Top Rd (NW bnd),2011-01-12T00:00:00,,nr Victoria Ave,Acre Top Rd (NW bnd),Higher Blackley,2011-01-12T00:00:00,,,E0028798,Manchester,BCT,ACRE TOP RD
1800NBH0262,SE,Acre Top Road,2007-11-01T00:00:00,,Munn Road,MUNN ROAD,Higher Blackley,2007-11-01T00:00:00,,,E0028798,Manchester,BCT,ACRE TOP ROAD
1800NBH0261,S,Acre Top Road (SE bnd),2011-01-12T00:00:00,,Munn Road,MUNN ROAD,Higher Blackley,2011-01-12T00:00:00,,DIRECTION AMENDED,E0028798,Manchester,BCT,ACRE TOP ROAD
1800EH37171,NW,Acres Ln,2007-11-01T00:00:00,,nr,,Stalybridge,2007-11-01T00:00:00,MANDAWTW,,E0029366,,BCT,MOTTRAM RD
1800NEH4331,NE,Acresfield Rd (NE bnd),2011-01-24T00:00:00,,nr Ashbourne Ave,Acresfield Rd (NE bnd),Stanycliffe,2011-01-24T00:00:00,,,E0029371,Middleton,BCT,ACRESFIELD RD
1800NEH4321,NE,Acresfield Rd (NE bnd),2011-01-24T00:00:00,,nr pub,Acresfield Rd (NE bnd),Stanycliffe,2011-01-24T00:00:00,,,E0029371,Middleton,BCT,ACRESFIELD RD
1800NFH1002,NW,Acresfield Road,2007-11-01T00:00:00,,Bolton Road,BOLTON ROAD,Irlams o' th' Height,2007-11-01T00:00:00,,,E0028886,Salford,BCT,ACRESFIELD ROAD
1800EHH0902,W,Acresfield Road,2007-11-01T00:00:00,,Acresfield Road,ACRESFIELD ROAD,Newton,2007-11-01T00:00:00,,,N0075097,Hyde,BCT,BARLEY CROFT RD
1800NFH1001,SE,Acresfield Road,2007-11-01T00:00:00,,Bolton Road,BOLTON ROAD,Irlams o' th' Height,2007-11-01T00:00:00,,,E0028886,Salford,BCT,ACRESFIELD ROAD
1800EHH0901,E,Acresfield Road,2007-11-01T00:00:00,,Acresfield Road,ACRESFIELD ROAD,Newton,2007-11-01T00:00:00,,,N0075097,Hyde,BCT,BARLEY CROFT RD
1800NEH0382,SW,Acresfield Road (Stanycliffe),2007-11-01T00:00:00,,Guildford Grove,GUILDFORD GROVE,Stanycliffe,2007-11-01T00:00:00,,,E0029371,Middleton,BCT,ACRESFIELD ROAD
1800NEH0381,SW,Acresfield Road (SW bnd),2011-01-24T00:00:00,,Guildford Grove,GUILDFORD GROVE,Stanycliffe,2011-01-24T00:00:00,,DIRECTION AMENDED,E0029371,Middleton,BCT,ACRESFIELD ROAD
1800EB00831,SE,Adair St,2013-01-30T00:00:00,,Stop C,APARTMENTS,Ancoats,2013-01-30T00:00:00,MANADAMT,INDICATOR AMENDED,N0074882,Manchester,BCT,GT ANCOATS ST
1800WAH2312,N,Addington Road,2007-11-01T00:00:00,,Sutton Road,SUTTON ROAD,Fernhill Gate,2007-11-01T00:00:00,,,E0028399,Deane,BCT,ADDINGTON ROAD
1800WA04001,SW,Addington Road,2014-10-14T00:00:00,,nr,,Fernhill Gate,2014-10-14T00:00:00,MANJWGTA,INDICATOR AMENDED,E0028399,Deane,BCT,WIGAN ROAD
1800WA16731,NE,Addington Road,2007-11-01T00:00:00,,opp,,Fernhill Gate,2007-11-01T00:00:00,MANPAWTD,,E0028399,Deane,BCT,WIGAN ROAD
1800WAH2311,N,Addington Road (NWbnd),2010-05-11T00:00:00,,Sutton Road,SUTTON ROAD,Fernhill Gate,2010-05-11T00:00:00,,DIRECTION REVISED,E0028399,Deane,BCT,ADDINGTON ROAD
1800NF27481,SW,Addison Rd,2007-11-05T00:00:00,,opp,,Irlam,2007-11-05T00:00:00,MANGJTWG,LOCATION AMENDED,E0028884,Salford,BCT,LIVERPOOL RD
1800NF27491,N,Addison Rd,2015-10-11T00:00:00,,nr,HOUSE 18,Irlam,2015-10-11T00:00:00,MANGJTWJ,STOP LOCATION AMENDED,E0028884,Salford,BCT,LIVERPOOL RD
1800SJH0592,S,Addison Road,2007-11-01T00:00:00,,Manchester Rd,MANCHESTER RD,Carrington,2007-11-01T00:00:00,,,E0052672,,BCT,ADDISON ROAD
1800SJ48151,E,Addison Road,2015-02-13T00:00:00,,nr,COMMUNITY CTR,Carrington,2015-02-13T00:00:00,MANJTPWG,INDICATOR AMENDED,E0052672,,BCT,MANCHESTER ROAD
1800SJ48201,NW,Addison Road,2015-02-13T00:00:00,,opp,SHELL CHEMICALS,Carrington,2015-02-13T00:00:00,MANJTWAD,INDICATOR AMENDED,E0052672,,BCT,MANCHESTER ROAD
1800SJH0591,N,Addison Road,2007-11-01T00:00:00,,Manchester Rd,MANCHESTER RD,Carrington,2007-11-01T00:00:00,,,E0052672,,BCT,ADDISON ROAD
1800NFH1811,N,Addison Road,2007-11-01T00:00:00,,Os House 52,Addison Road,Irlam,2007-11-01T00:00:00,,,E0028884,Salford,BCT,ADDISON ROAD
1800NFH1812,S,Addison Road,2007-11-01T00:00:00,,Os House 52,Addison Road,Irlam,2007-11-01T00:00:00,,,E0028884,Salford,BCT,ADDISON ROAD
1800NF29391,SW,Adelaide St,2007-11-01T00:00:00,Salford,opp,NURSING HOME,Patricroft,2007-11-01T00:00:00,MANGMGPW,,E0029193,Eccles,BCT,TRAFFORD RD
1800NF02661,SE,Adelaide St,2015-11-24T00:00:00,Salford,nr,FLATS,Patricroft,2015-11-24T00:00:00,MANGJGWT,STOP NAME AMENDED,E0029193,Eccles,BCT,CAWDOR ST
1800WAH0852,SW,Adelaide Street (to def route),2008-07-10T00:00:00,,St Helens Road,ST HELENS ROAD,Daubhill,2008-07-10T00:00:00,,INDICATOR AMENDED,E0028320,,BCT,ADELAIDE STREET
1800WAH0851,NE,Adelaide Street (to def route),2008-07-10T00:00:00,,St Helens Road,ST HELENS ROAD,Daubhill,2008-07-10T00:00:00,,INDICATOR AMENDED,E0028320,,BCT,ADELAIDE STREET
1800EBH0881,NE,Aden Close,2007-11-01T00:00:00,,,ASHLAR DRIVE,Ancoats,2007-11-01T00:00:00,,,N0074882,Manchester,BCT,ADEN CLOSE
1800EBH0882,NE,Aden Close,2005-05-24T00:00:00,,Aden Close - Ashlar Drive,ASHLAR DRIVE,Ancoats,2005-05-24T00:00:00,,,N0074882,Manchester,BCT,Aden Close
1800WA08291,NW,Adisham Drive,2007-11-01T00:00:00,,nr,HOUSE 7,Halliwell,2007-11-01T00:00:00,MANJWMGA,,E0028738,Bolton,BCT,HALLIWELL ROAD
1800WA08281,SE,Adisham Drive,2007-11-01T00:00:00,,opp,PHARMACY,Halliwell,2007-11-01T00:00:00,MANJWMDW,,E0028738,Bolton,BCT,HALLIWELL ROAD
1800SG05991,E,Adswood Park,2014-02-18T00:00:00,,at,ADSWOOD PARK,Adswood,2014-02-18T00:00:00,MANJAJPD,INDICATOR AMENDED,E0028247,,BCT,COUNCILLOR LN
1800SG17271,N,Adswood Rd,2014-02-21T00:00:00,,adj,UTD DAIRIES,Edgeley,2014-02-21T00:00:00,MANTMTDT,INDICATOR AMENDED,N0074972,,BCT,STOCKHOLM RD
1800SG17261,S,Adswood Rd,2014-02-21T00:00:00,,nr,UTD DAIRIES,Edgeley,2014-02-21T00:00:00,MANTMTDP,INDICATOR AMENDED,N0074972,,BCT,STOCKHOLM RD
1800NC22301,NE,Affetside Dr,2007-11-01T00:00:00,,opp,HOUSE 85,Starling,2007-11-01T00:00:00,MANDPTPG,,E0029372,Bury,BCT,LOWERCROFT RD
1800WAH2272,W,Affleck Avenue,2007-11-01T00:00:00,,Eames Avenue,EAMES AVENUE,Prestolee,2007-11-01T00:00:00,,,E0029220,Farnworth,BCT,AFFLECK AVENUE
1800WAH0112,W,Affleck Avenue,2007-11-01T00:00:00,,Pickering Close,PICKERING CLOSE,Prestolee,2007-11-01T00:00:00,,,E0029220,Farnworth,BCT,AFFLECK AVENUE
1800WAH0111,E,Affleck Avenue (NEbnd),2010-05-13T00:00:00,,Pickering Close,PICKERING CLOSE,Prestolee,2010-05-13T00:00:00,,DIRECTION AMENDED,E0029220,Farnworth,BCT,AFFLECK AVENUE
1800WAH2271,W,Affleck Avenue (NWbnd),2010-05-13T00:00:00,,Eames Avenue,EAMES AVENUE,Prestolee,2010-05-13T00:00:00,,DIRECTION AMENDED,E0029220,Farnworth,BCT,AFFLECK AVENUE
1800EDH0361,W,Age Croft,2007-11-01T00:00:00,,,AGE CROFT,Alt,2007-11-01T00:00:00,,,E0028259,Abbey Hills,BCT,LAWN CLOSES
1800EDH0362,W,Age Croft,2005-05-24T00:00:00,,Lawn Closes - Age Croft,AGE CROFT,Alt,2005-05-24T00:00:00,,,E0028259,Abbey Hills,BCT,Lawn Closes
1800NF17941,NE,Agecroft Bridge,2007-11-01T00:00:00,,nr,MILL,Agecroft,2007-11-01T00:00:00,MANGJPMD,,E0028249,Salford,BCT,AGECROFT RD
