Site,LocationName,BRCYear,BRCMonthName,BRCWeekNum,DayName,Date,Hour,InCount,OutCount,ReportCount,FactoredInCount,FactoredOutCount,FactoredReportCount,LocationGroup
Leeds Originals,Albion Street South,2020,August,32,Tuesday,04-Aug-20,09:00,343,0,343,343,0,343,No Group
Leeds Originals,Albion Street South,2020,August,32,Tuesday,04-Aug-20,10:00,537,0,537,537,0,537,No Group
Leeds Originals,Albion Street South,2020,August,32,Tuesday,04-Aug-20,11:00,872,0,872,872,0,872,No Group
Leeds Originals,Albion Street South,2020,August,32,Tuesday,04-Aug-20,12:00,1397,0,1397,1397,0,1397,No Group
Leeds Originals,Albion Street South,2020,August,32,Tuesday,04-Aug-20,13:00,1469,0,1469,1469,0,1469,No Group
Leeds Originals,Albion Street South,2020,August,32,Tuesday,04-Aug-20,14:00,1378,0,1378,1378,0,1378,No Group
Leeds Originals,Albion Street South,2020,August,32,Tuesday,04-Aug-20,15:00,1512,0,1512,1512,0,1512,No Group
Leeds Originals,Albion Street South,2020,August,32,Tuesday,04-Aug-20,16:00,1326,0,1326,1326,0,1326,No Group
Leeds Originals,Albion Street South,2020,August,32,Tuesday,04-Aug-20,17:00,1092,0,1092,1092,0,1092,No Group
Leeds Originals,Albion Street South,2020,August,32,Tuesday,04-Aug-20,18:00,775,0,775,775,0,775,No Group
Leeds Originals,Albion Street South,2020,August,32,Tuesday,04-Aug-20,19:00,579,0,579,579,0,579,No Group
Leeds Originals,Albion Street South,2020,August,32,Tuesday,04-Aug-20,20:00,318,0,318,318,0,318,No Group
Leeds Originals,Albion Street South,2020,August,32,Tuesday,04-Aug-20,21:00,120,0,120,120,0,120,No Group
Leeds Originals,Albion Street South,2020,August,32,Tuesday,04-Aug-20,22:00,38,0,38,38,0,38,No Group
Leeds Originals,Albion Street South,2020,August,32,Tuesday,04-Aug-20,23:00,6,0,6,6,0,6,No Group
Leeds Originals,Albion Street South,2020,August,32,Wednesday,05-Aug-20,00:00,12,0,12,12,0,12,No Group
Leeds Originals,Albion Street South,2020,August,32,Wednesday,05-Aug-20,01:00,6,0,6,6,0,6,No Group
Leeds Originals,Albion Street South,2020,August,32,Wednesday,05-Aug-20,02:00,1,0,1,1,0,1,No Group
Leeds Originals,Albion Street South,2020,August,32,Wednesday,05-Aug-20,03:00,25,0,25,25,0,25,No Group
Leeds Originals,Albion Street South,2020,August,32,Wednesday,05-Aug-20,04:00,16,0,16,16,0,16,No Group
Leeds Originals,Albion Street South,2020,August,32,Wednesday,05-Aug-20,05:00,38,0,38,38,0,38,No Group
Leeds Originals,Albion Street South,2020,August,32,Wednesday,05-Aug-20,06:00,119,0,119,119,0,119,No Group
Leeds Originals,Albion Street South,2020,August,32,Wednesday,05-Aug-20,07:00,111,0,111,111,0,111,No Group
Leeds Originals,Albion Street South,2020,August,32,Wednesday,05-Aug-20,08:00,262,0,262,262,0,262,No Group
Leeds Originals,Albion Street South,2020,August,32,Wednesday,05-Aug-20,09:00,519,0,519,519,0,519,No Group
Leeds Originals,Albion Street South,2020,August,32,Wednesday,05-Aug-20,10:00,644,0,644,644,0,644,No Group
Leeds Originals,Albion Street South,2020,August,32,Wednesday,05-Aug-20,11:00,1076,0,1076,1076,0,1076,No Group
Leeds Originals,Albion Street South,2020,August,32,Wednesday,05-Aug-20,12:00,1477,0,1477,1477,0,1477,No Group
Leeds Originals,Albion Street South,2020,August,32,Wednesday,05-Aug-20,13:00,1570,0,1570,1570,0,1570,No Group
Leeds Originals,Albion Street South,2020,August,32,Wednesday,05-Aug-20,14:00,1535,0,1535,1535,0,1535,No Group
Leeds Originals,Albion Street South,2020,August,32,Wednesday,05-Aug-20,15:00,1395,0,1395,1395,0,1395,No Group
Leeds Originals,Albion Street South,2020,August,32,Wednesday,05-Aug-20,16:00,1230,0,1230,1230,0,1230,No Group
Leeds Originals,Albion Street South,2020,August,32,Wednesday,05-Aug-20,17:00,1060,0,1060,1060,0,1060,No Group
Leeds Originals,Albion Street South,2020,August,32,Wednesday,05-Aug-20,18:00,888,0,888,888,0,888,No Group
Leeds Originals,Albion Street South,2020,August,32,Wednesday,05-Aug-20,19:00,655,0,655,655,0,655,No Group
Leeds Originals,Albion Street South,2020,August,32,Wednesday,05-Aug-20,20:00,381,0,381,381,0,381,No Group
Leeds Originals,Albion Street South,2020,August,32,Wednesday,05-Aug-20,21:00,109,0,109,109,0,109,No Group
Leeds Originals,Albion Street South,2020,August,32,Wednesday,05-Aug-20,22:00,32,0,32,32,0,32,No Group
Leeds Originals,Albion Street South,2020,August,32,Wednesday,05-Aug-20,23:00,29,0,29,29,0,29,No Group
Leeds Originals,Albion Street South,2020,August,32,Thursday,06-Aug-20,00:00,7,0,7,7,0,7,No Group
Leeds Originals,Albion Street South,2020,August,32,Thursday,06-Aug-20,01:00,2,0,2,2,0,2,No Group
Leeds Originals,Albion Street South,2020,August,32,Thursday,06-Aug-20,02:00,13,0,13,13,0,13,No Group
Leeds Originals,Albion Street South,2020,August,32,Thursday,06-Aug-20,03:00,4,0,4,4,0,4,No Group
Leeds Originals,Albion Street South,2020,August,32,Thursday,06-Aug-20,04:00,23,0,23,23,0,23,No Group
Leeds Originals,Albion Street South,2020,August,32,Thursday,06-Aug-20,05:00,30,0,30,30,0,30,No Group
Leeds Originals,Albion Street South,2020,August,32,Thursday,06-Aug-20,06:00,87,0,87,87,0,87,No Group
Leeds Originals,Albion Street South,2020,August,32,Thursday,06-Aug-20,07:00,85,0,85,85,0,85,No Group
Leeds Originals,Albion Street South,2020,August,32,Thursday,06-Aug-20,08:00,251,0,251,251,0,251,No Group
Leeds Originals,Albion Street South,2020,August,32,Thursday,06-Aug-20,09:00,436,0,436,436,0,436,No Group
Leeds Originals,Albion Street South,2020,August,32,Thursday,06-Aug-20,10:00,565,0,565,565,0,565,No Group
Leeds Originals,Albion Street South,2020,August,32,Thursday,06-Aug-20,11:00,991,0,991,991,0,991,No Group
Leeds Originals,Albion Street South,2020,August,32,Thursday,06-Aug-20,12:00,1448,0,1448,1448,0,1448,No Group
Leeds Originals,Albion Street South,2020,August,32,Thursday,06-Aug-20,13:00,1485,0,1485,1485,0,1485,No Group
Leeds Originals,Albion Street South,2020,August,32,Thursday,06-Aug-20,14:00,1383,0,1383,1383,0,1383,No Group
Leeds Originals,Albion Street South,2020,August,32,Thursday,06-Aug-20,15:00,1418,0,1418,1418,0,1418,No Group
Leeds Originals,Albion Street South,2020,August,32,Thursday,06-Aug-20,16:00,1155,0,1155,1155,0,1155,No Group
Leeds Originals,Albion Street South,2020,August,32,Thursday,06-Aug-20,17:00,974,0,974,974,0,974,No Group
Leeds Originals,Albion Street South,2020,August,32,Thursday,06-Aug-20,18:00,662,0,662,662,0,662,No Group
Leeds Originals,Albion Street South,2020,August,32,Thursday,06-Aug-20,19:00,443,0,443,443,0,443,No Group
Leeds Originals,Albion Street South,2020,August,32,Thursday,06-Aug-20,20:00,239,0,239,239,0,239,No Group
Leeds Originals,Albion Street South,2020,August,32,Thursday,06-Aug-20,21:00,87,0,87,87,0,87,No Group
Leeds Originals,Albion Street South,2020,August,32,Thursday,06-Aug-20,22:00,28,0,28,28,0,28,No Group
Leeds Originals,Albion Street South,2020,August,32,Thursday,06-Aug-20,23:00,11,0,11,11,0,11,No Group
Leeds Originals,Albion Street South,2020,August,32,Friday,07-Aug-20,00:00,12,0,12,12,0,12,No Group
Leeds Originals,Albion Street South,2020,August,32,Friday,07-Aug-20,01:00,7,0,7,7,0,7,No Group
Leeds Originals,Albion Street South,2020,August,32,Friday,07-Aug-20,02:00,14,0,14,14,0,14,No Group
Leeds Originals,Albion Street South,2020,August,32,Friday,07-Aug-20,03:00,28,0,28,28,0,28,No Group
Leeds Originals,Albion Street South,2020,August,32,Friday,07-Aug-20,04:00,0,0,0,0,0,0,No Group
Leeds Originals,Albion Street South,2020,August,32,Friday,07-Aug-20,05:00,30,0,30,30,0,30,No Group
Leeds Originals,Albion Street South,2020,August,32,Friday,07-Aug-20,06:00,107,0,107,107,0,107,No Group
Leeds Originals,Albion Street South,2020,August,32,Friday,07-Aug-20,07:00,121,0,121,121,0,121,No Group
Leeds Originals,Albion Street South,2020,August,32,Friday,07-Aug-20,08:00,222,0,222,222,0,222,No Group
Leeds Originals,Albion Street South,2020,August,32,Friday,07-Aug-20,09:00,539,0,539,539,0,539,No Group
Leeds Originals,Albion Street South,2020,August,32,Friday,07-Aug-20,10:00,733,0,733,733,0,733,No Group
Leeds Originals,Albion Street South,2020,August,32,Friday,07-Aug-20,11:00,967,0,967,967,0,967,No Group
Leeds Originals,Albion Street South,2020,August,32,Friday,07-Aug-20,12:00,1192,0,1192,1192,0,1192,No Group
Leeds Originals,Albion Street South,2020,August,32,Friday,07-Aug-20,13:00,1471,0,1471,1471,0,1471,No Group
Leeds Originals,Albion Street South,2020,August,32,Friday,07-Aug-20,14:00,1399,0,1399,1399,0,1399,No Group
Leeds Originals,Albion Street South,2020,August,32,Friday,07-Aug-20,15:00,1427,0,1427,1427,0,1427,No Group
Leeds Originals,Albion Street South,2020,August,32,Friday,07-Aug-20,16:00,1331,0,1331,1331,0,1331,No Group
Leeds Originals,Albion Street South,2020,August,32,Friday,07-Aug-20,17:00,1075,0,1075,1075,0,1075,No Group
Leeds Originals,Albion Street South,2020,August,32,Friday,07-Aug-20,18:00,680,0,680,680,0,680,No Group
Leeds Originals,Albion Street South,2020,August,32,Friday,07-Aug-20,19:00,494,0,494,494,0,494,No Group
Leeds Originals,Albion Street South,2020,August,32,Friday,07-Aug-20,20:00,338,0,338,338,0,338,No Group
Leeds Originals,Albion Street South,2020,August,32,Friday,07-Aug-20,21:00,112,0,112,112,0,112,No Group
Leeds Originals,Albion Street South,2020,August,32,Friday,07-Aug-20,22:00,52,0,52,52,0,52,No Group
Leeds Originals,Albion Street South,2020,August,32,Friday,07-Aug-20,23:00,31,0,31,31,0,31,No Group
Leeds Originals,Albion Street South,2020,August,32,Saturday,08-Aug-20,00:00,18,0,18,18,0,18,No Group
Leeds Originals,Albion Street South,2020,August,32,Saturday,08-Aug-20,01:00,9,0,9,9,0,9,No Group
Leeds Originals,Albion Street South,2020,August,32,Saturday,08-Aug-20,02:00,5,0,5,5,0,5,No Group
Leeds Originals,Albion Street South,2020,August,32,Saturday,08-Aug-20,03:00,4,0,4,4,0,4,No Group
Leeds Originals,Albion Street South,2020,August,32,Saturday,08-Aug-20,04:00,2,0,2,2,0,2,No Group
Leeds Originals,Albion Street South,2020,August,32,Saturday,08-Aug-20,05:00,41,0,41,41,0,41,No Group
Leeds Originals,Albion Street South,2020,August,32,Saturday,08-Aug-20,06:00,102,0,102,102,0,102,No Group
Leeds Originals,Albion Street South,2020,August,32,Saturday,08-Aug-20,07:00,66,0,66,66,0,66,No Group
Leeds Originals,Albion Street South,2020,August,32,Saturday,08-Aug-20,08:00,188,0,188,188,0,188,No Group
Leeds Originals,Albion Street South,2020,August,32,Saturday,08-Aug-20,09:00,483,0,483,483,0,483,No Group
Leeds Originals,Albion Street South,2020,August,32,Saturday,08-Aug-20,10:00,860,0,860,860,0,860,No Group
Leeds Originals,Albion Street South,2020,August,32,Saturday,08-Aug-20,11:00,1219,0,1219,1219,0,1219,No Group
Leeds Originals,Albion Street South,2020,August,32,Saturday,08-Aug-20,12:00,1534,0,1534,1534,0,1534,No Group
Leeds Originals,Albion Street South,2020,August,32,Saturday,08-Aug-20,13:00,1479,0,1479,1479,0,1479,No Group
Leeds Originals,Albion Street South,2020,August,32,Saturday,08-Aug-20,14:00,1649,0,1649,1649,0,1649,No Group
Leeds Originals,Albion Street South,2020,August,32,Saturday,08-Aug-20,15:00,2029,0,2029,2029,0,2029,No Group
Leeds Originals,Albion Street South,2020,August,32,Saturday,08-Aug-20,16:00,1612,0,1612,1612,0,1612,No Group
Leeds Originals,Albion Street South,2020,August,32,Saturday,08-Aug-20,17:00,1238,0,1238,1238,0,1238,No Group
Leeds Originals,Albion Street South,2020,August,32,Saturday,08-Aug-20,18:00,815,0,815,815,0,815,No Group
Leeds Originals,Albion Street South,2020,August,32,Saturday,08-Aug-20,19:00,633,0,633,633,0,633,No Group
Leeds Originals,Albion Street South,2020,August,32,Saturday,08-Aug-20,20:00,452,0,452,452,0,452,No Group
Leeds Originals,Albion Street South,2020,August,32,Saturday,08-Aug-20,21:00,120,0,120,120,0,120,No Group
Leeds Originals,Albion Street South,2020,August,32,Saturday,08-Aug-20,22:00,50,0,50,50,0,50,No Group
Leeds Originals,Albion Street South,2020,August,32,Saturday,08-Aug-20,23:00,20,0,20,20,0,20,No Group
Leeds Originals,Albion Street South,2020,August,32,Sunday,09-Aug-20,00:00,22,0,22,22,0,22,No Group
Leeds Originals,Albion Street South,2020,August,32,Sunday,09-Aug-20,01:00,12,0,12,12,0,12,No Group
Leeds Originals,Albion Street South,2020,August,32,Sunday,09-Aug-20,02:00,6,0,6,6,0,6,No Group
Leeds Originals,Albion Street South,2020,August,32,Sunday,09-Aug-20,03:00,2,0,2,2,0,2,No Group
Leeds Originals,Albion Street South,2020,August,32,Sunday,09-Aug-20,04:00,3,0,3,3,0,3,No Group
Leeds Originals,Albion Street South,2020,August,32,Sunday,09-Aug-20,05:00,20,0,20,20,0,20,No Group
Leeds Originals,Albion Street South,2020,August,32,Sunday,09-Aug-20,06:00,31,0,31,31,0,31,No Group
Leeds Originals,Albion Street South,2020,August,32,Sunday,09-Aug-20,07:00,72,0,72,72,0,72,No Group
Leeds Originals,Albion Street South,2020,August,32,Sunday,09-Aug-20,08:00,52,0,52,52,0,52,No Group
Leeds Originals,Albion Street South,2020,August,32,Sunday,09-Aug-20,09:00,70,0,70,70,0,70,No Group
Leeds Originals,Albion Street South,2020,August,32,Sunday,09-Aug-20,10:00,344,0,344,344,0,344,No Group
Leeds Originals,Albion Street South,2020,August,32,Sunday,09-Aug-20,11:00,811,0,811,811,0,811,No Group
Leeds Originals,Albion Street South,2020,August,32,Sunday,09-Aug-20,12:00,1177,0,1177,1177,0,1177,No Group
Leeds Originals,Albion Street South,2020,August,32,Sunday,09-Aug-20,13:00,1456,0,1456,1456,0,1456,No Group
Leeds Originals,Albion Street South,2020,August,32,Sunday,09-Aug-20,14:00,1489,0,1489,1489,0,1489,No Group
Leeds Originals,Albion Street South,2020,August,32,Sunday,09-Aug-20,15:00,1302,0,1302,1302,0,1302,No Group
Leeds Originals,Albion Street South,2020,August,32,Sunday,09-Aug-20,16:00,867,0,867,867,0,867,No Group
Leeds Originals,Albion Street South,2020,August,32,Sunday,09-Aug-20,17:00,502,0,502,502,0,502,No Group
Leeds Originals,Albion Street South,2020,August,32,Sunday,09-Aug-20,18:00,298,0,298,298,0,298,No Group
Leeds Originals,Albion Street South,2020,August,32,Sunday,09-Aug-20,19:00,197,0,197,197,0,197,No Group
Leeds Originals,Albion Street South,2020,August,32,Sunday,09-Aug-20,20:00,168,0,168,168,0,168,No Group
Leeds Originals,Albion Street South,2020,August,32,Sunday,09-Aug-20,21:00,54,0,54,54,0,54,No Group
Leeds Originals,Albion Street South,2020,August,32,Sunday,09-Aug-20,22:00,23,0,23,23,0,23,No Group
Leeds Originals,Albion Street South,2020,August,32,Sunday,09-Aug-20,23:00,5,0,5,5,0,5,No Group
Leeds Originals,Briggate,2020,August,32,Monday,03-Aug-20,00:00,107,0,107,107,0,107,No Group
Leeds Originals,Briggate,2020,August,32,Monday,03-Aug-20,01:00,32,0,32,32,0,32,No Group
Leeds Originals,Briggate,2020,August,32,Monday,03-Aug-20,02:00,19,0,19,19,0,19,No Group
Leeds Originals,Briggate,2020,August,32,Monday,03-Aug-20,03:00,28,0,28,28,0,28,No Group
Leeds Originals,Briggate,2020,August,32,Monday,03-Aug-20,04:00,62,0,62,62,0,62,No Group
Leeds Originals,Briggate,2020,August,32,Monday,03-Aug-20,05:00,65,0,65,65,0,65,No Group
Leeds Originals,Briggate,2020,August,32,Monday,03-Aug-20,06:00,140,0,140,140,0,140,No Group
Leeds Originals,Briggate,2020,August,32,Monday,03-Aug-20,07:00,219,0,219,219,0,219,No Group
Leeds Originals,Briggate,2020,August,32,Monday,03-Aug-20,08:00,504,0,504,504,0,504,No Group
Leeds Originals,Briggate,2020,August,32,Monday,03-Aug-20,09:00,645,0,645,645,0,645,No Group
Leeds Originals,Briggate,2020,August,32,Monday,03-Aug-20,10:00,1308,0,1308,1308,0,1308,No Group
Leeds Originals,Briggate,2020,August,32,Monday,03-Aug-20,11:00,1912,0,1912,1912,0,1912,No Group
Leeds Originals,Briggate,2020,August,32,Monday,03-Aug-20,12:00,2592,0,2592,2592,0,2592,No Group
Leeds Originals,Briggate,2020,August,32,Monday,03-Aug-20,13:00,2834,0,2834,2834,0,2834,No Group
Leeds Originals,Briggate,2020,August,32,Monday,03-Aug-20,14:00,2784,0,2784,2784,0,2784,No Group
Leeds Originals,Briggate,2020,August,32,Monday,03-Aug-20,15:00,2622,0,2622,2622,0,2622,No Group
Leeds Originals,Briggate,2020,August,32,Monday,03-Aug-20,16:00,2542,0,2542,2542,0,2542,No Group
Leeds Originals,Briggate,2020,August,32,Monday,03-Aug-20,17:00,1912,0,1912,1912,0,1912,No Group
Leeds Originals,Briggate,2020,August,32,Monday,03-Aug-20,18:00,1213,0,1213,1213,0,1213,No Group
Leeds Originals,Briggate,2020,August,32,Monday,03-Aug-20,19:00,591,0,591,591,0,591,No Group
Leeds Originals,Briggate,2020,August,32,Monday,03-Aug-20,20:00,365,0,365,365,0,365,No Group
Leeds Originals,Briggate,2020,August,32,Monday,03-Aug-20,21:00,362,0,362,362,0,362,No Group
Leeds Originals,Briggate,2020,August,32,Monday,03-Aug-20,22:00,190,0,190,190,0,190,No Group
Leeds Originals,Briggate,2020,August,32,Monday,03-Aug-20,23:00,104,0,104,104,0,104,No Group
Leeds Originals,Briggate,2020,August,32,Tuesday,04-Aug-20,00:00,46,0,46,46,0,46,No Group
Leeds Originals,Briggate,2020,August,32,Tuesday,04-Aug-20,01:00,34,0,34,34,0,34,No Group
Leeds Originals,Briggate,2020,August,32,Tuesday,04-Aug-20,02:00,22,0,22,22,0,22,No Group
Leeds Originals,Briggate,2020,August,32,Tuesday,04-Aug-20,03:00,19,0,19,19,0,19,No Group
Leeds Originals,Briggate,2020,August,32,Tuesday,04-Aug-20,04:00,17,0,17,17,0,17,No Group
Leeds Originals,Briggate,2020,August,32,Tuesday,04-Aug-20,05:00,57,0,57,57,0,57,No Group
Leeds Originals,Briggate,2020,August,32,Tuesday,04-Aug-20,06:00,128,0,128,128,0,128,No Group
Leeds Originals,Briggate,2020,August,32,Tuesday,04-Aug-20,07:00,257,0,257,257,0,257,No Group
Leeds Originals,Briggate,2020,August,32,Tuesday,04-Aug-20,08:00,439,0,439,439,0,439,No Group
Leeds Originals,Briggate,2020,August,32,Tuesday,04-Aug-20,09:00,723,0,723,723,0,723,No Group
Leeds Originals,Briggate,2020,August,32,Tuesday,04-Aug-20,10:00,1176,0,1176,1176,0,1176,No Group
Leeds Originals,Briggate,2020,August,32,Tuesday,04-Aug-20,11:00,1617,0,1617,1617,0,1617,No Group
Leeds Originals,Briggate,2020,August,32,Tuesday,04-Aug-20,12:00,2257,0,2257,2257,0,2257,No Group
Leeds Originals,Briggate,2020,August,32,Tuesday,04-Aug-20,13:00,2504,0,2504,2504,0,2504,No Group
Leeds Originals,Briggate,2020,August,32,Tuesday,04-Aug-20,14:00,2363,0,2363,2363,0,2363,No Group
Leeds Originals,Briggate,2020,August,32,Tuesday,04-Aug-20,15:00,2258,0,2258,2258,0,2258,No Group
Leeds Originals,Briggate,2020,August,32,Tuesday,04-Aug-20,16:00,1737,0,1737,1737,0,1737,No Group
Leeds Originals,Briggate,2020,August,32,Tuesday,04-Aug-20,17:00,1475,0,1475,1475,0,1475,No Group
Leeds Originals,Briggate,2020,August,32,Tuesday,04-Aug-20,18:00,1008,0,1008,1008,0,1008,No Group
Leeds Originals,Briggate,2020,August,32,Tuesday,04-Aug-20,19:00,506,0,506,506,0,506,No Group
Leeds Originals,Briggate,2020,August,32,Tuesday,04-Aug-20,20:00,340,0,340,340,0,340,No Group
Leeds Originals,Briggate,2020,August,32,Tuesday,04-Aug-20,21:00,158,0,158,158,0,158,No Group
Leeds Originals,Briggate,2020,August,32,Tuesday,04-Aug-20,22:00,159,0,159,159,0,159,No Group
Leeds Originals,Briggate,2020,August,32,Tuesday,04-Aug-20,23:00,109,0,109,109,0,109,No Group
Leeds Originals,Briggate,2020,August,32,Wednesday,05-Aug-20,00:00,100,0,100,100,0,100,No Group
Leeds Originals,Briggate,2020,August,32,Wednesday,05-Aug-20,01:00,65,0,65,65,0,65,No Group
Leeds Originals,Briggate,2020,August,32,Wednesday,05-Aug-20,02:00,42,0,42,42,0,42,No Group
Leeds Originals,Briggate,2020,August,32,Wednesday,05-Aug-20,03:00,58,0,58,58,0,58,No Group
Leeds Originals,Briggate,2020,August,32,Wednesday,05-Aug-20,04:00,66,0,66,66,0,66,No Group
Leeds Originals,Briggate,2020,August,32,Wednesday,05-Aug-20,05:00,87,0,87,87,0,87,No Group
Leeds Originals,Briggate,2020,August,32,Wednesday,05-Aug-20,06:00,173,0,173,173,0,173,No Group
Leeds Originals,Briggate,2020,August,32,Wednesday,05-Aug-20,07:00,315,0,315,315,0,315,No Group
Leeds Originals,Briggate,2020,August,32,Wednesday,05-Aug-20,08:00,574,0,574,574,0,574,No Group
Leeds Originals,Briggate,2020,August,32,Wednesday,05-Aug-20,09:00,804,0,804,804,0,804,No Group
Leeds Originals,Briggate,2020,August,32,Wednesday,05-Aug-20,10:00,1176,0,1176,1176,0,1176,No Group
Leeds Originals,Briggate,2020,August,32,Wednesday,05-Aug-20,11:00,1913,0,1913,1913,0,1913,No Group
Leeds Originals,Briggate,2020,August,32,Wednesday,05-Aug-20,12:00,2556,0,2556,2556,0,2556,No Group
Leeds Originals,Briggate,2020,August,32,Wednesday,05-Aug-20,13:00,2691,0,2691,2691,0,2691,No Group
Leeds Originals,Briggate,2020,August,32,Wednesday,05-Aug-20,14:00,2618,0,2618,2618,0,2618,No Group
Leeds Originals,Briggate,2020,August,32,Wednesday,05-Aug-20,15:00,2628,0,2628,2628,0,2628,No Group
Leeds Originals,Briggate,2020,August,32,Wednesday,05-Aug-20,16:00,2236,0,2236,2236,0,2236,No Group
Leeds Originals,Briggate,2020,August,32,Wednesday,05-Aug-20,17:00,2050,0,2050,2050,0,2050,No Group
Leeds Originals,Briggate,2020,August,32,Wednesday,05-Aug-20,18:00,1543,0,1543,1543,0,1543,No Group
Leeds Originals,Briggate,2020,August,32,Wednesday,05-Aug-20,19:00,878,0,878,878,0,878,No Group
Leeds Originals,Briggate,2020,August,32,Wednesday,05-Aug-20,20:00,568,0,568,568,0,568,No Group
Leeds Originals,Briggate,2020,August,32,Wednesday,05-Aug-20,21:00,480,0,480,480,0,480,No Group
Leeds Originals,Briggate,2020,August,32,Wednesday,05-Aug-20,22:00,353,0,353,353,0,353,No Group
Leeds Originals,Briggate,2020,August,32,Wednesday,05-Aug-20,23:00,186,0,186,186,0,186,No Group
Leeds Originals,Briggate,2020,August,32,Thursday,06-Aug-20,00:00,134,0,134,134,0,134,No Group
Leeds Originals,Briggate,2020,August,32,Thursday,06-Aug-20,01:00,57,0,57,57,0,57,No Group
Leeds Originals,Briggate,2020,August,32,Thursday,06-Aug-20,02:00,46,0,46,46,0,46,No Group
Leeds Originals,Briggate,2020,August,32,Thursday,06-Aug-20,03:00,24,0,24,24,0,24,No Group
Leeds Originals,Briggate,2020,August,32,Thursday,06-Aug-20,04:00,26,0,26,26,0,26,No Group
Leeds Originals,Briggate,2020,August,32,Thursday,06-Aug-20,05:00,60,0,60,60,0,60,No Group
Leeds Originals,Briggate,2020,August,32,Thursday,06-Aug-20,06:00,110,0,110,110,0,110,No Group
Leeds Originals,Briggate,2020,August,32,Thursday,06-Aug-20,07:00,234,0,234,234,0,234,No Group
