AtcoCode,Bearing,CommonName,CreationDateTime,GrandParentLocalityName,Indicator,Landmark,LocalityName,ModificationDateTime,NaptanCode,Notes,NptgLocalityCode,ParentLocalityName,ShortCommonName,StopType,Street
1800WK36971,W,Spinners Arms,2007-11-01T00:00:00,,opp,HOUSE 33,Firs Lane,2007-11-01T00:00:00,MANTDGAT,,N0077438,Leigh,Spinners Arms,BCT,FIRS LN
1800WKH3601,W,Spinning Jenny Way (to def route),2007-11-01T00:00:00,,Ellesmere St,ELLESMERE ST,Leigh,2007-11-01T00:00:00,,,E0028950,,,BCT,SPINNING JNY WY
1800SB10121,S,Spinningfields,2007-11-01T00:00:00,Manchester,at,COURTS,Spinningfields,2007-11-01T00:00:00,MANTGAWD,,N0077372,Manchester City Centre,Spinningfields,BCT,GARTSIDE ST
1800SB04121,N,Spinningfields,2007-11-01T00:00:00,Manchester,at,SPINNINGFIELDS,Spinningfields,2007-11-01T00:00:00,MANGPGWA,,N0077372,Manchester City Centre,Spinningfields,BCT,DEANSGATE
1800SBH1791,E,Spinningfields (to define route),2010-06-02T00:00:00,Manchester,Nr Court,Spinningfields (to define route),Spinningfields,2010-06-02T00:00:00,,REMOVED,N0077372,Manchester City Centre,,BCT,DEANSGATE
1800EBH2001,NW,Sportcity,2009-05-26T00:00:00,,Nr Stadium,Sportcity,Beswick,2009-05-26T00:00:00,,INDICATOR AMENDED,E0028544,Manchester,,BCT,ASHTON NEW RD
1800EBH2002,W,Sportcity,2005-05-24T00:00:00,,Ashton New Rd,Sportcity,Sportcity,2005-05-24T00:00:00,,,N0075154,Manchester,,BCT,Ashton New Rd
1800SYBS002,,Sportcity Bus Station,2005-05-24T00:00:00,,Alan Turing Way - Jubilee Terrace,JUBILEE TERRACE,Sportcity,2005-05-24T00:00:00,,,N0075154,Manchester,,BCS,Alan Turing Way
1800SYBS001,,Sportcity Bus Station,2008-07-09T00:00:00,,Alan Turing Way,Sportcity Bus Station,Beswick,2008-07-09T00:00:00,MANJWDAP,INDICATOR AMENDED,E0028544,Manchester,,BCS,ALAN TURING WAY
1800SYBS0A1,,Sportcity Bus Station,2008-07-09T00:00:00,,Stand A,Sportcity Bus Station,Beswick,2008-07-09T00:00:00,,INDICATOR AMENDED,E0028544,Manchester,,BCS,ALAN TURING WAY
1800SG36011,E,Sports Club,2014-02-05T00:00:00,,o/s,SPORTS CLUB,Mellor,2014-02-05T00:00:00,MANJGDWP,INDICATOR AMENDED,E0029053,,Sports Club,BCT,LONGHURST LN
1800SG36001,W,Sports Club,2014-02-05T00:00:00,,opp,HOUSE 190,Mellor,2014-02-05T00:00:00,MANJGDWM,INDICATOR AMENDED,E0029053,,Sports Club,BCT,LONGHURST LN
1800ED15531,S,Sports Ctr,2008-03-27T00:00:00,,Stop Lc,SPORTS CENTRE,Oldham,2008-03-27T00:00:00,MANAPGJW,INDICATOR AMENDED,E0057798,,Sports Ctr,BCT,LORD ST
1800ED07661,S,Sports Ctr,2008-03-27T00:00:00,,Stop La,SPORTS CTR,Oldham,2008-03-27T00:00:00,MANAMDMJ,INDICATOR AMENDED,E0057798,,Sports Ctr,BCT,LORD ST
1800ED02121,S,Sports Ctr,2008-03-27T00:00:00,,Stop Lb,SPORTS CENTRE,Oldham,2008-03-27T00:00:00,MANAJTWA,INDICATOR AMENDED,E0057798,,Sports Ctr,BCT,LORD ST
1800EH10061,S,Sports Field,2010-04-19T00:00:00,,o/s Park,FIELD,Sunny Bank Park,2010-04-19T00:00:00,MANAWTMT,INDICATOR AMENDED,N0076732,Droylsden,Sports Field,BCT,LEWIS RD
1800WF07581,N,Sportside Ave,2014-02-21T00:00:00,Salford,,HOUSE 19,Linnyshaw,2014-02-21T00:00:00,MANPJGAW,indicator amended,E0028973,Walkden,Sportside Ave,BCT,SPORTSIDE AVE
1800WFH0421,E,Sportside Avenue,2007-11-01T00:00:00,Salford,Sportside Ave,SPORTSIDE AVE,Linnyshaw,2007-11-01T00:00:00,,,E0028973,Walkden,,BCT,WHITTLE STREET
1800ED28421,NW,Sportsman Dr,2007-11-01T00:00:00,,nr,HOUSE 44,Hathershaw,2007-11-01T00:00:00,MANATJDW,,E0028755,,Sportsman Dr,BCT,KESWICK AVE
1800ED28431,S,Sportsman Dr,2007-11-01T00:00:00,,opp,HOUSE 91,Hathershaw,2007-11-01T00:00:00,MANATJGA,,E0028755,,Sportsman Dr,BCT,KESWICK AVE
1800SG35621,SE,Sportsmans Arms,2014-02-05T00:00:00,,o/s,SPORTSMAN ARMS,Strines,2014-02-05T00:00:00,MANJGDGW,INDICATOR AMENDED,E0029391,,Sportsmans Arms,BCT,STRINES RD
1800SG35611,NW,Sportsmans Arms,2014-02-05T00:00:00,,opp,SPORTSMANS ARMS,Strines,2014-02-05T00:00:00,MANJGDGT,INDICATOR AMENDED,E0029391,,Sportsmans Arms,BCT,STRINES RD
1800NE48771,W,Spotland Bridge,2007-11-01T00:00:00,,nr,HOUSE 2,Spotland,2007-11-01T00:00:00,MANGDWDW,,N0075155,Rochdale,Spotland Bridge,BCT,EDENFIELD RD
1800NE25681,NW,Spotland Bridge,2015-11-22T00:00:00,,opp,HOUSE 2,Spotland,2015-11-22T00:00:00,MANGAPWM,STOP LOCATION AMENDENT,N0075155,Rochdale,Spotland Bridge,BCT,MEANWOOD BROW
1800NE25671,E,Spotland Bridge,2015-05-14T00:00:00,,nr,PROPERTY 242,Spotland,2015-05-14T00:00:00,MANGAPWJ,STOP LOCATION AMENDED,N0075155,Rochdale,Spotland Bridge,BCT,SPOTLAND RD
1800NE48801,NW,Spotland Church,2007-11-01T00:00:00,,o/s,CHURCH,Spotland,2007-11-01T00:00:00,MANGDWGJ,,N0075155,Rochdale,Spotland Church,BCT,ROOLEY MOOR RD
1800NE48811,SE,Spotland Church,2007-11-01T00:00:00,,opp,FLATS 140-144,Spotland,2007-11-01T00:00:00,MANGDWGM,,N0075155,Rochdale,Spotland Church,BCT,ROOLEY MOOR RD
1800NE21901,S,Spotland Library,2014-12-02T00:00:00,,o/s,LIBRARY,Spotland,2014-12-02T00:00:00,MANGAGPW,TOWARDS ADDED,N0075155,Rochdale,Spotland Library,BCT,INGS LN
1800NE16461,N,Spotland Library,2010-04-24T00:00:00,,opp,CARE HOME,Spotland,2010-04-24T00:00:00,MANDWTJD,INDICATOR AMENDED,N0075155,Rochdale,Spotland Library,BCT,INGS LN
1800NE19801,N,Spotland Rd,2010-04-26T00:00:00,,adj,HOUSE 35,Town Head,2010-04-26T00:00:00,MANGADTM,INDICATOR AMENDED,E0029464,Rochdale,Spotland Rd,BCT,SHERIFF ST
1800NE02691,SE,Spotland Rd,2007-11-01T00:00:00,,nr,,Spotland,2007-11-01T00:00:00,MANDWGDP,,N0075155,Rochdale,Spotland Rd,BCT,MELLOR ST
1800NE19791,S,Spotland Rd,2007-11-01T00:00:00,,nr,GARAGES,Town Head,2007-11-01T00:00:00,MANGADTJ,,E0029464,Rochdale,Spotland Rd,BCT,SHERIFF ST
1800NEH3642,W,Spotland Road (to def rte),2007-11-01T00:00:00,,Mellor Street,MELLOR STREET,Spotland,2007-11-01T00:00:00,,,N0075155,Rochdale,,BCT,SPOTLAND ROAD
1800NEH3641,E,Spotland Road (to def rte),2007-11-01T00:00:00,,Mellor Street,MELLOR STREET,Spotland,2007-11-01T00:00:00,,,N0075155,Rochdale,,BCT,SPOTLAND ROAD
1800NE25701,N,Spotland Stadium,2007-11-01T00:00:00,,opp,HOUSE 195,Spotland,2007-11-01T00:00:00,MANGAPWT,,N0075155,Rochdale,Spotland Stadium,BCT,SANDY LN
1800EH37021,W,Spring Ave,2010-04-19T00:00:00,,nr,THE HOLLIES,Backbower,2010-04-19T00:00:00,MANDAWMT,INDICATOR AMENDED,E0028503,Hyde,Spring Ave,BCT,MOTTRAM OLD RD
1800SB15411,NE,Spring Gardens,2007-11-01T00:00:00,,Stop CQ,HOUSE 46,Manchester City Centre,2007-11-01T00:00:00,MANGTDTP,,E0057786,Manchester,Spring Gardens,BCT,FOUNTAIN ST
1800SG08461,NE,Spring Gardens,2014-02-14T00:00:00,,nr,CHAPEL STUDIO,Stockport,2014-02-14T00:00:00,MANJDAMG,INDICATOR AMENDED,E0057819,,Spring Gardens,BCT,WATERLOO RD
1800SGH2502,W,Spring Gardens (to def route),2007-11-01T00:00:00,,None,Spring Gardens (to def route),Stockport,2007-11-01T00:00:00,,,E0057819,,,BCT,SPRING GARDENS
1800SGH2501,E,Spring Gardens (to def route),2007-11-01T00:00:00,,None,Spring Gardens (to def route),Stockport,2007-11-01T00:00:00,,,E0057819,,,BCT,SPRING GARDENS
1800EDH1181,S,Spring Lane,2007-11-01T00:00:00,,Spring Close,SPRING CLOSE,Lees,2007-11-01T00:00:00,,,E0028946,,,BCT,SPRING LANE
1800EDH1191,S,Spring Lane,2007-11-01T00:00:00,,Spring Lane,SPRING LANE,Lees,2007-11-01T00:00:00,,,E0028946,,,BCT,THOMAS STREET
1800EDH1192,N,Spring Lane,2007-11-01T00:00:00,,Spring Lane,SPRING LANE,Lees,2007-11-01T00:00:00,,,E0028946,,,BCT,THOMAS STREET
1800EDH1182,N,Spring Lane,2007-11-01T00:00:00,,Spring Close,SPRING CLOSE,Lees,2007-11-01T00:00:00,,,E0028946,,,BCT,SPRING LANE
1800NC05841,NE,Spring Ln,2010-04-21T00:00:00,,opp,KWIK FIT,Radcliffe,2010-04-21T00:00:00,MANDMTDA,INDICATOR AMENDED,E0029232,Bury,Spring Ln,BCT,BURY RD
1800WK05191,SW,Spring Rd,2014-02-14T00:00:00,,,HOUSE 68,Kitt Green,2014-02-14T00:00:00,MANPTJDJ,indicator amended,E0028911,Wigan,Spring Rd,BCT,SPRING RD
1800WK05201,NE,Spring Rd,2014-02-14T00:00:00,,,HOUSE 61,Kitt Green,2014-02-14T00:00:00,MANPTJDM,indicator amended,E0028911,Wigan,Spring Rd,BCT,SPRING RD
1800EH05751,S,Spring Rise,2007-11-01T00:00:00,,o/s,FLATS,Ridge Hill,2007-11-01T00:00:00,MANAWGWJ,,E0029252,Stalybridge,Spring Rise,BCT,SPRINGS LN
1800WKH2462,NW,Spring Road,2007-11-01T00:00:00,,Spring Road,SPRING ROAD,Kitt Green,2007-11-01T00:00:00,,,E0028911,Wigan,,BCT,LATHAM LANE
1800WKH2461,SE,Spring Road (SE bound),2010-05-05T00:00:00,,Spring Road,SPRING ROAD,Kitt Green,2010-05-05T00:00:00,,DIRECTION REVISED,E0028911,Wigan,,BCT,LATHAM LANE
1800ED30551,W,Spring St,2007-11-01T00:00:00,,Stop F,NR OPEN LAND,Greenacres,2007-11-01T00:00:00,MANATMJW,,E0028471,,Spring St,BCT,HUDDERSFIELD RD
1800WK02481,E,Spring St,2014-02-18T00:00:00,Wigan,nr,,Higher Ince,2014-02-18T00:00:00,MANPMWAP,indicator amended,E0028807,Ince,Spring St,BCT,DARLINGTON ST E
1800ED30541,E,Spring St,2007-11-01T00:00:00,,Stop E,OS FLATS 1-69,Greenacres,2007-11-01T00:00:00,MANATMJT,,E0028471,,Spring St,BCT,HUDDERSFIELD RD
1800NE08471,S,Spring Vale,2010-04-24T00:00:00,,nr,GARAGE,Middleton,2010-04-24T00:00:00,MANDWPJW,INDICATOR AMENDED,E0029060,,Spring Vale,BCT,TOWNLEY ST
1800NE08481,N,Spring Vale,2010-04-24T00:00:00,,opp,SORTING OFFICE,Middleton,2010-04-24T00:00:00,MANDWPMA,INDICATOR AMENDED,E0029060,,Spring Vale,BCT,TOWNLEY ST
1800ED16631,NE,Spring Vale Way,2007-11-01T00:00:00,,nr,HOUSE 491,Luzley Brook,2007-11-01T00:00:00,MANAPMJW,,E0029031,Royton,Spring Vale Way,BCT,SHAW RD
1800ED16641,SW,Spring Vale Way,2010-04-16T00:00:00,,opp,HOUSE 388B,Luzley Brook,2010-04-16T00:00:00,MANAPMPA,INDICATOR AMENDED,E0029031,Royton,Spring Vale Way,BCT,SHAW RD
1800WK00881,W,Springbank Ind. Est,2013-05-21T00:00:00,,nr,HOUSE 493,Platt Bridge,2013-05-21T00:00:00,MANPMGWP,INDICATOR AMENDED,E0029211,Wigan,Springbank Ind. E,BCT,LIVERPOOL RD
1800WK00891,E,Springbank Ind. Est,2013-05-21T00:00:00,,opp,,Platt Bridge,2013-05-21T00:00:00,MANPMGWT,INDICATOR AMENDED,E0029211,Wigan,Springbank Ind. E,BCT,LIVERPOOL RD
1800NE25901,NE,Springbank Ln,2007-11-01T00:00:00,,nr,HOUSE 2,Bamford,2007-11-01T00:00:00,MANGATGT,,E0028508,Rochdale,Springbank Ln,BCT,NORDEN RD
1800NE25891,SW,Springbank Ln,2007-11-01T00:00:00,,opp,HOUSE 164,Bamford,2007-11-01T00:00:00,MANGATGP,,E0028508,Rochdale,Springbank Ln,BCT,NORDEN RD
1800SB31031,W,Springbridge Rd,2010-10-12T00:00:00,,opp,SCHOOL,Whalley Range,2010-10-12T00:00:00,MANGTMPW,STOP MOVED,E0029530,Manchester,Springbridge Rd,BCT,WILBRAHAM RD
1800SB31021,E,Springbridge Rd,2007-11-01T00:00:00,,nr,SCHOOL,Whalley Range,2007-11-01T00:00:00,MANGTMPT,,E0029530,Manchester,Springbridge Rd,BCT,WILBRAHAM RD
1800SBH0332,N,Springbridge Road,2007-11-01T00:00:00,,Wilbraham Road,WILBRAHAM ROAD,Whalley Range,2007-11-01T00:00:00,,,E0029530,Manchester,,BCT,SPRINGBRIDGE RD
1800SBH0331,S,Springbridge Road,2007-11-01T00:00:00,,Wilbraham Road,WILBRAHAM ROAD,Whalley Range,2007-11-01T00:00:00,,,E0029530,Manchester,,BCT,SPRINGBRIDGE RD
1800SG43911,NE,Springfield Ave,2014-02-13T00:00:00,,opp,M & S,Hazel Grove,2014-02-13T00:00:00,MANJMDWM,INDICATOR AMENDED,E0028763,,Springfield Ave,BCT,COMMERCIAL RD
1800SG43921,SW,Springfield Ave,2014-02-13T00:00:00,,nr,CAR PARK,Hazel Grove,2014-02-13T00:00:00,MANJMDWP,INDICATOR AMENDED,E0028763,,Springfield Ave,BCT,COMMERCIAL RD
1800WA41491,NE,Springfield Gdns,2014-02-28T00:00:00,,nr,,Kearsley,2014-02-28T00:00:00,MANPGPAT,indicator amended,E0028898,Farnworth,Springfield Gdns,BCT,SPRINGFIELD RD
1800ED01471,N,Springfield Ln,2007-11-01T00:00:00,,opp,HOUSE 731,Summit,2007-11-01T00:00:00,MANAJTMA,,N0075177,,Springfield Ln,BCT,ROCHDALE RD
1800ED16981,S,Springfield Ln,2010-04-16T00:00:00,,nr,BUILDING 728,Summit,2010-04-16T00:00:00,MANAPTDP,INDICATOR AMENDED,N0075177,,Springfield Ln,BCT,ROCHDALE RD
1800EH04801,NW,Springfield Rd,2008-03-26T00:00:00,,opp,HOUSE 211,Greenside,2008-03-26T00:00:00,MANAWDJW,INDICATOR AMENDED,E0028477,Droylsden,Springfield Rd,BCT,GREENSIDE LN
1800EH36521,NW,Springfield Rd,2010-04-19T00:00:00,,nr,SPAR,Droylsden,2010-04-19T00:00:00,MANDAWAG,INDICATOR AMENDED,E0028353,,Springfield Rd,BCT,SUNNYSIDE RD
1800EH36441,SE,Springfield Rd,2007-11-01T00:00:00,,nr,OFF LICENCE,Greenside,2007-11-01T00:00:00,MANDATWA,,E0028477,Droylsden,Springfield Rd,BCT,GREENSIDE LN
1800WA41471,NW,Springfield Rd,2014-02-28T00:00:00,,nr,,Kearsley,2014-02-28T00:00:00,MANPGPAM,indicator amended,E0028898,Farnworth,Springfield Rd,BCT,MANCHESTER RD
1800EH36531,SE,Springfield Rd,2010-04-19T00:00:00,,opp,TAKE AWAY,Droylsden,2010-04-19T00:00:00,MANDAWAJ,INDICATOR AMENDED,E0028353,,Springfield Rd,BCT,SUNNYSIDE RD
1800WA13711,NW,Springfield Road,2007-11-01T00:00:00,,nr,,Eagley,2007-11-01T00:00:00,MANPAJDJ,,E0028365,,Springfield Road,BCT,BLACKBURN ROAD
1800SGH2352,W,Springfield Road,2007-11-01T00:00:00,,Springfield Rd,SPRINGFIELD RD,Gatley,2007-11-01T00:00:00,,,E0028432,,,BCT,FOXLAND ROAD
1800SJH2571,NE,Springfield Road,2008-08-22T00:00:00,,Nr Pub,School Road/Springfield Road,Sale,2008-08-22T00:00:00,,NAME AMENDED,E0029289,,,BCT,SCHOOL ROAD
1800EDH3241,SW,Springfield Road,2007-11-01T00:00:00,,Rochdale Road,ROCHDALE ROAD,Summit,2007-11-01T00:00:00,,,N0075177,,,BCT,SPRINGFIELD RD
1800SGH2351,E,Springfield Road,2007-11-01T00:00:00,,Springfield Rd,SPRINGFIELD RD,Gatley,2007-11-01T00:00:00,,,E0028432,,,BCT,FOXLAND ROAD
1800WA15181,SE,Springfield Road,2007-11-01T00:00:00,,opp,HOUSE 53,Kearsley,2007-11-01T00:00:00,MANPAPMW,,E0028898,Farnworth,Springfield Road,BCT,MANCHESTER ROAD
1800EH14481,E,Springfield St,2010-04-19T00:00:00,,nr,HOUSE 245,Hurst Cross,2010-04-19T00:00:00,MANTPAGA,INDICATOR AMENDED,N0075024,Ashton Under Lyne,Springfield St,BCT,KINGS RD
1800WAH0901,SW,Springfld Rd (Wbd - to def rte),2007-11-01T00:00:00,,Holcombe Cres,HOLCOMBE CRES,Kearsley,2007-11-01T00:00:00,,,E0028898,Farnworth,,BCT,SPRINGFIELD RD
1800ED30801,W,Springhead P.O.,2007-11-01T00:00:00,,o/s,POST OFFICE,Springhead,2007-11-01T00:00:00,MANATPAG,,E0029358,,Springhead P.O.,BCT,OLDHAM RD
1800ED06461,E,Springhead P.O.,2010-10-15T00:00:00,,opp,HOUSE 113,Springhead,2010-10-15T00:00:00,MANAMDGD,INDICATOR AMENDED,E0029358,,Springhead P.O.,BCT,OLDHAM ROAD
1800WK05871,SW,Springpool,2014-02-14T00:00:00,Wigan,opp,HOUSE 32,Winstanley Park,2014-02-14T00:00:00,MANPTMGP,indicator amended,E0029556,Winstanley,Springpool,BCT,PEMBERTON RD
1800WK05861,NE,Springpool,2014-02-14T00:00:00,Wigan,nr,,Winstanley Park,2014-02-14T00:00:00,MANPTMGM,indicator amended,E0029556,Winstanley,Springpool,BCT,PEMBERTON RD
1800ED19721,E,Springs Rd,2010-10-18T00:00:00,,opp,,Middleton Junction,2010-10-18T00:00:00,MANATAGT,NAME AMENDED,E0029061,,Springs Rd,BCT,FOXDENTON LN
1800ED19711,W,Springs Rd,2010-10-18T00:00:00,,nr,CATERERS,Middleton Junction,2010-10-18T00:00:00,MANATAGP,NAME/INDICATOR AMENDED,E0029061,,Springs Rd,BCT,FOXDENTON LN
1800EH21321,N,Springs Rise,2007-11-01T00:00:00,,nr,FLATS,Ridge Hill,2007-11-01T00:00:00,MANDAJDP,,E0029252,Stalybridge,Springs Rise,BCT,SPRINGS LN
1800SGH2522,S,Springside,2007-11-01T00:00:00,,Springside,SPRINGSIDE,Heaton Chapel,2007-11-01T00:00:00,,,E0028777,,,BCT,CARNFORTH ROAD
1800SGH2521,N,Springside,2007-11-01T00:00:00,,Springside,SPRINGSIDE,Heaton Chapel,2007-11-01T00:00:00,,,E0028777,,,BCT,CARNFORTH ROAD
1800NC22821,N,Springside View,2011-01-17T00:00:00,,opp,FARM,Brandlesholme,2011-01-17T00:00:00,MANDPWPT,NAME & INDICATOR AMENDED,E0028598,Bury,Springside View,BCT,BRANDLESHLME RD
1800NCH0731,NW,Springside View,2007-11-01T00:00:00,,Brandlesholme R,BRANDLESHOLME R,Brandlesholme,2007-11-01T00:00:00,,,E0028598,Bury,,BCT,SPRINGSIDE VIEW
1800NCH0732,SE,Springside View,2007-11-01T00:00:00,,Brandlesholme R,BRANDLESHOLME R,Brandlesholme,2007-11-01T00:00:00,,,E0028598,Bury,,BCT,SPRINGSIDE VIEW
1800NC22831,SE,Springside View,2010-03-29T00:00:00,,nr,,Brandlesholme,2010-03-29T00:00:00,MANDPWPW,INDICATOR AMENDED,E0028598,Bury,Springside View,BCT,BRANDLESHLME RD
1800EH01441,S,Springvale Cl,2007-11-01T00:00:00,,nr,,Taunton,2007-11-01T00:00:00,MANAWADW,,E0029421,Ashton Under Lyne,Springvale Cl,BCT,WORDSWORTH CRES
1800EH01442,SW,Springvale Close,2006-01-20T00:00:00,,Towards Ashton,SPRINGDALE CL,Taunton,2006-01-20T00:00:00,,,E0029421,Ashton Under Lyne,,BCT,Wordsworth Cres
1800ED28521,SW,Springwood Hall Rd,2010-04-15T00:00:00,,opp,HOUSE 103,Fitton Hill,2010-04-15T00:00:00,MANATJMG,INDICATOR AMENDED,E0028406,,Education Ctr,BCT,ROSARY RD
1800ED04531,NE,Springwood Hall Rd,2010-10-15T00:00:00,,nr,HOUSE 94,Fitton Hill,2010-10-15T00:00:00,MANAMAJM,INDICATOR AMENDED,E0028406,,Springw'd Hall Rd,BCT,ROSARY RD
1800EDH2581,NW,Springwood Hall Road,2007-11-01T00:00:00,,Fold View,FOLD VIEW,Fitton Hill,2007-11-01T00:00:00,,,E0028406,,,BCT,SPRINGWOOD HL R
1800EDH2582,SE,Springwood Hall Road,2007-11-01T00:00:00,,Fold View,FOLD VIEW,Fitton Hill,2007-11-01T00:00:00,,,E0028406,,,BCT,SPRINGWOOD HL R
1800WF39471,N,Springwood Sch,2014-02-20T00:00:00,Salford,o/s,SCHOOL,Swinton Park,2014-02-20T00:00:00,MANPJPMP,indicator amended,E0029411,Swinton,Springwood Sch,BCT,BARTON RD
1800SB30391,E,Spruce St,2007-11-01T00:00:00,,nr,HOUSE 164,Hulme,2007-11-01T00:00:00,MANGTMDA,,E0028865,Manchester,Spruce St,BCT,ROLLS CRES
1800ED05071,S,Spurn Ln,2007-11-01T00:00:00,,nr,AMBROSE MOUNT,Diggle,2007-11-01T00:00:00,MANAMATJ,,E0028339,,Spurn Ln,BCT,STANDEDGE RD
1800EB00861,S,St Agnes Church,2007-11-01T00:00:00,,opp,CHURCH,Longsight,2007-11-01T00:00:00,MANADAPD,,E0028994,Manchester,Hamilton Rd,BCT,SLADE LN
1800EB06101,N,St Agnes Church,2010-03-25T00:00:00,,o/s,ST AGNES CHURCH,Longsight,2010-03-25T00:00:00,MANADTAJ,INDICATOR AMENDED,E0028994,Manchester,Hamilton Rd,BCT,SLADE LN
1800NE18461,SW,St Aidan's Church,2007-11-01T00:00:00,,Stop B,DRY CLEANERS,Sudden,2007-11-01T00:00:00,MANGADMA,,E0029395,Rochdale,St Aidan's Church,BCT,MANCHESTER RD
1800NE02421,NE,St Aidan's Church,2010-04-24T00:00:00,,o/s,CHURCH,Sudden,2010-04-24T00:00:00,MANDWDTM,INDICATOR AMENDED,E0029395,Rochdale,St Aidan's Church,BCT,MANCHESTER RD
1800WK05951,SE,St Aidan's Sch,2014-02-14T00:00:00,,o/s,PRIMARY SCHOOL,Winstanley,2014-02-14T00:00:00,MANPTMJT,indicator amended,N0075201,Wigan,St Aidan's Sch,BCT,HOLMES HSE AVE
1800WK05961,NW,St Aidan's Sch,2014-02-14T00:00:00,,nr,THE POACHER PUB,Winstanley,2014-02-14T00:00:00,MANPTMJW,indicator amended,N0075201,Wigan,St Aidan's Sch,BCT,HOLMES HSE AVE
1800SBH0411,NW,St Aidans R.C Primary School,2007-11-01T00:00:00,,Moor Road,MOOR ROAD,Northern Moor,2007-11-01T00:00:00,,,N0075104,Manchester,,BCT,RACKHOUSE ROAD
1800SBH0412,SE,St Aidans R.C Primary School,2007-11-01T00:00:00,,Moor Road,MOOR ROAD,Northern Moor,2007-11-01T00:00:00,,,N0075104,Manchester,,BCT,RACKHOUSE ROAD
1800SG08381,NW,St Alban's Church,2014-02-17T00:00:00,,opp,CHURCH,Woodbank Estate,2014-02-17T00:00:00,MANJDAJG,INDICATOR AMENDED,N0075203,,St Alban's Church,BCT,OFFERTON LN
1800EH14521,S,St Albans Ave,2011-12-21T00:00:00,,opp,SCHOOL,Lily Lanes,2011-12-21T00:00:00,MANTPAPG,STOP RELOCATED,E0028965,Ashton Under Lyne,St Albans Ave,BCT,LEES RAD
1800EH15241,S,St Albans Ave,2012-02-01T00:00:00,,os School,OS SCHOOL,Lily Lanes,2012-02-01T00:00:00,MANTPMJP,NEW STOP,E0028965,Ashton Under Lyne,St Albans Ave,BCT,LEES RD
1800WK05061,NE,St Ambrose,2014-02-14T00:00:00,Leigh,o/s,METH CHURCH,Blackmoor,2014-02-14T00:00:00,MANPTGWP,indicator amended,E0028559,Astley,St Ambrose,BCT,MANCHESTER RD
1800WK32131,SW,St Ambrose,2007-11-01T00:00:00,Leigh,opp,HOUSE 273,Blackmoor,2007-11-01T00:00:00,MANTAMAW,,E0028559,Astley,St Ambrose,BCT,MANCHESTER RD
1800SJ41421,NW,St Ambrose,2015-01-21T00:00:00,,o/s,CRICKET CLUB,Hale Barns,2015-01-21T00:00:00,MANJTJTM,INDICATOR AMENDED,N0074997,Altrincham,St Ambrose,BCT,HALE ROAD
1800SJ41411,SE,St Ambrose,2015-01-21T00:00:00,,opp,PARK,Hale Barns,2015-01-21T00:00:00,MANJTJTJ,INDICATOR AMENDED,N0074997,Altrincham,St Ambrose,BCT,HALE ROAD
1800SJH2831,NW,St Ambrose College,2013-05-01T00:00:00,,o/s,St Ambrose College,Hale Barns,2013-05-01T00:00:00,,,N0074997,Altrincham,,BCT,SCHOOL GROUNDS
